rule,engine,track,cell_id,seed,rep,PP_ms,RTT_ms,loss_pct,msg_bytes,hosts,nodes,qos_params,sent,received,delivery_ratio,late_join_recovered,owner,failover_ms,requested_deadline_missed,offered_deadline_missed,liveliness_lost,reader_not_alive,disposed,no_writers,created,matched,verdict
7,cyclone,loopback,988116bc0e1c,20260630,0,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 400}",1000,1000,1.0,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,2be2656c1be8,20260630,1,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 400}",1000,1000,1.0,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,0d3e483d5a1d,20260630,2,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 400}",1000,1000,1.0,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,00c92bdf944f,20260630,3,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 400}",1000,1000,1.0,,,,9,7,0,0,,,true,true,delivered
7,cyclone,loopback,cf9863ec6c20,20260630,4,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 400}",1000,1000,1.0,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,648b414976e1,20260630,5,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 400}",1000,1000,1.0,,,,9,7,0,0,,,true,true,delivered
7,cyclone,loopback,3d96a516bcfb,20260630,6,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 400}",1000,1000,1.0,,,,10,7,0,0,,,true,true,delivered
7,cyclone,loopback,a917e6e25aed,20260630,7,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 400}",1000,1000,1.0,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,de7647ad3001,20260630,8,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 400}",1000,1000,1.0,,,,9,7,0,0,,,true,true,delivered
7,cyclone,loopback,73b15b73a1c8,20260630,9,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 400}",1000,1000,1.0,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,0e26a4582715,20260630,0,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 400}",1000,1000,1.0,,,,5,5,0,0,,,true,true,delivered
7,cyclone,loopback,cfbd00076e37,20260630,1,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 400}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,fe4dd50e01a8,20260630,2,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 400}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
